;lon;lat;landmask;gx;gy
359;75.56402587890625;73.09971618652344;1.0;217.0;196.0
403;74.89042663574219;73.21350860595703;1.0;217.0;197.0
444;74.20759582519531;73.32500457763672;1.0;217.0;198.0
445;73.82784271240234;73.12732696533203;1.0;218.0;198.0
7;99.80609130859375;76.64446258544922;1.0;187.0;186.0
8;99.00850677490234;76.51190948486328;1.0;188.0;186.0
9;98.22672271728516;76.37684631347656;1.0;189.0;186.0
10;97.46056365966797;76.2393569946289;1.0;190.0;186.0
22;96.8699951171875;76.41914367675781;1.0;190.0;187.0
40;96.26348876953125;76.59752655029297;1.0;190.0;188.0
41;95.50547790527344;76.45384979248047;1.0;191.0;188.0
42;94.76364135742188;76.30792236328125;1.0;192.0;188.0
43;94.03771209716797;76.1598129272461;1.0;193.0;188.0
44;93.32740783691406;76.00959014892578;1.0;194.0;188.0
45;92.63243865966797;75.85733032226562;1.0;195.0;188.0
70;91.99787902832031;76.0245361328125;1.0;195.0;189.0
71;91.31690979003906;75.86841583251953;1.0;196.0;189.0
72;90.65106201171875;75.71041107177734;1.0;197.0;189.0
95;90.0;75.87210845947266;1.0;197.0;190.0
96;89.34893798828125;75.71041107177734;1.0;198.0;190.0
97;88.7126693725586;75.54698181152344;1.0;199.0;190.0
98;88.09085083007812;75.38188171386719;1.0;200.0;190.0
99;87.48312377929688;75.21517944335938;1.0;201.0;190.0
