;lon;lat;landmask;gx;gy
1439;63.29277420043945;69.7161865234375;1.0;296.0;256.0
1456;62.13627624511719;70.01641082763672;1.0;294.0;257.0
1457;62.43487548828125;69.81494140625;1.0;295.0;257.0
1472;61.26020431518555;70.10887145996094;1.0;293.0;258.0
1473;61.56882858276367;69.9090576171875;1.0;294.0;258.0
1485;60.05121994018555;70.39395904541016;1.0;291.0;259.0
1486;60.376251220703125;70.19656372070312;1.0;292.0;259.0
1487;60.694923400878906;69.99848175048828;1.0;293.0;259.0
1508;60.21632766723633;69.3778305053711;1.0;295.0;261.0
1509;60.524112701416016;69.17979431152344;1.0;296.0;261.0
1510;60.82615280151367;68.9811019897461;1.0;297.0;261.0
1519;60.29298782348633;68.86904907226562;1.0;297.0;262.0
314;85.34174346923828;74.7935562133789;1.0;283.0;221.0
315;85.40945434570312;74.56829833984375;1.0;284.0;221.0
316;85.47523498535156;74.34294128417969;1.0;285.0;221.0
346;84.80557250976562;73.8730697631836;1.0;287.0;222.0
374;84.01184844970703;73.85102844238281;1.0;287.0;223.0
402;83.22042846679688;73.82586669921875;1.0;287.0;224.0
430;82.43160247802734;73.79761505126953;1.0;287.0;225.0
460;81.6456527709961;73.76627349853516;1.0;287.0;226.0
491;80.86284637451172;73.73186492919922;1.0;287.0;227.0
523;80.0834732055664;73.69441223144531;1.0;287.0;228.0
524;80.21759033203125;73.47142791748047;1.0;288.0;228.0
525;80.3481674194336;73.24827575683594;1.0;289.0;228.0
526;80.47533416748047;73.02497863769531;1.0;290.0;228.0
560;79.59228515625;73.2088394165039;1.0;289.0;229.0
596;78.84005737304688;73.16647338867188;1.0;289.0;230.0
629;78.0916976928711;73.1211929321289;1.0;289.0;231.0
41;99.22392272949219;76.70246124267578;1.0;274.0;206.0
42;99.07149505615234;76.4798355102539;1.0;275.0;206.0
43;98.92398834228516;76.25706481933594;1.0;276.0;206.0
59;97.99747467041016;76.2902603149414;1.0;276.0;207.0
60;97.86907196044922;76.06682586669922;1.0;277.0;207.0
71;97.06672668457031;76.31982421875;1.0;276.0;208.0
72;96.95295715332031;76.0959243774414;1.0;277.0;208.0
83;96.1322250366211;76.34574890136719;1.0;276.0;209.0
95;95.19442749023438;76.36800384521484;1.0;276.0;210.0
96;95.11042022705078;76.14334106445312;1.0;277.0;210.0
109;94.1849136352539;76.16162872314453;1.0;277.0;211.0
123;93.2572250366211;76.17626953125;1.0;277.0;212.0
124;93.20521545410156;75.95100402832031;1.0;278.0;212.0
141;92.29061126708984;75.96182250976562;1.0;278.0;213.0
142;92.25457763671875;75.73632049560547;1.0;279.0;213.0
160;91.35319519042969;75.74342346191406;1.0;279.0;214.0
179;90.45114135742188;75.74697875976562;1.0;279.0;215.0
198;89.54885864257812;75.74697875976562;1.0;279.0;216.0
199;89.55585479736328;75.52124786376953;1.0;280.0;216.0
219;88.66777801513672;75.51774597167969;1.0;280.0;217.0
239;87.78034210205078;75.51074981689453;1.0;280.0;218.0
240;87.81420135498047;75.28511810302734;1.0;281.0;218.0
264;87.03176879882812;74.82361602783203;1.0;283.0;219.0
