;lon;lat;landmask;gx;gy
16;96.7098388671875;76.09951782226562;1.0;191.0;186.0
29;96.1155014038086;76.27741241455078;1.0;191.0;187.0
48;95.50547790527344;76.45384979248047;1.0;191.0;188.0
49;94.76364135742188;76.30792236328125;1.0;192.0;188.0
50;94.03771209716797;76.1598129272461;1.0;193.0;188.0
51;92.63243103027344;75.85733032226562;1.0;195.0;188.0
78;93.40644073486328;76.33085632324219;1.0;193.0;189.0
79;92.69428253173828;76.1787109375;1.0;194.0;189.0
80;91.99787902832031;76.02452850341797;1.0;195.0;189.0
81;91.31690979003906;75.868408203125;1.0;196.0;189.0
82;90.65106201171875;75.71041107177734;1.0;197.0;189.0
110;90.0;75.87210845947266;1.0;197.0;190.0
111;89.34893798828125;75.71041107177734;1.0;198.0;190.0
112;88.7126693725586;75.54698181152344;1.0;199.0;190.0
113;88.09085083007812;75.38188171386719;1.0;200.0;190.0
114;87.48312377929688;75.21517944335938;1.0;201.0;190.0
