;index;lon;lat;landmask;gx;gy;dataset
58;1110;60.25511932373047;70.44976806640625;1.0;236.0;211.0;nsidc_v4
59;1111;60.08079147338867;70.23326873779297;1.0;237.0;211.0;nsidc_v4
60;54;85.38008117675781;73.89470672607422;1.0;207.0;188.0;nsidc_v4
61;85;84.75286102294922;74.04048919677734;1.0;207.0;189.0;nsidc_v4
62;86;84.23210906982422;73.86573028564453;1.0;208.0;189.0;nsidc_v4
63;87;83.72270202636719;73.68975067138672;1.0;209.0;189.0;nsidc_v4
64;118;85.18644714355469;74.533447265625;1.0;205.0;190.0;nsidc_v4
65;122;83.0887680053711;73.83036804199219;1.0;209.0;190.0;nsidc_v4
66;123;82.59308624267578;73.65161895751953;1.0;210.0;190.0;nsidc_v4
67;158;81.95094299316406;73.78868865966797;1.0;210.0;191.0;nsidc_v4
68;159;81.46923065185547;73.60724639892578;1.0;211.0;191.0;nsidc_v4
69;160;80.08724975585938;73.05687713623047;1.0;214.0;191.0;nsidc_v4
70;198;80.8194580078125;73.74073791503906;1.0;211.0;192.0;nsidc_v4
71;199;80.3519515991211;73.55670166015625;1.0;212.0;192.0;nsidc_v4
72;200;79.89495849609375;73.37169647216797;1.0;213.0;192.0;nsidc_v4
73;201;79.44818878173828;73.18575286865234;1.0;214.0;192.0;nsidc_v4
74;247;78.79920196533203;73.31257629394531;1.0;214.0;193.0;nsidc_v4
75;248;78.36637115478516;73.12425231933594;1.0;215.0;193.0;nsidc_v4
76;392;75.56403350830078;73.09971618652344;1.0;217.0;196.0;nsidc_v4
77;438;74.89041900634766;73.21350860595703;1.0;217.0;197.0;nsidc_v4
78;481;74.20760345458984;73.32501220703125;1.0;217.0;198.0;nsidc_v4
79;482;73.82784271240234;73.1273193359375;1.0;218.0;198.0;nsidc_v4
80;12;99.80609130859376;76.64447021484375;1.0;187.0;186.0;nsidc_v4
81;13;99.0084991455078;76.51190948486328;1.0;188.0;186.0;nsidc_v4
82;14;98.22672271728516;76.37684631347656;1.0;189.0;186.0;nsidc_v4
83;15;97.4605712890625;76.2393569946289;1.0;190.0;186.0;nsidc_v4
84;16;96.7098388671875;76.09951782226562;1.0;191.0;186.0;nsidc_v4
85;29;96.1155014038086;76.27741241455078;1.0;191.0;187.0;nsidc_v4
86;48;95.50547790527344;76.45384979248047;1.0;191.0;188.0;nsidc_v4
